,KOD,NAME
1043,030234,ТУНЕЦ БОЛЬШЕГЛАЗЫЙ (THUNNUS OBESUS) СВЕЖИЙ ИЛИ ОХЛАЖДЕННЫЙ
1048,030235,"ТУНЕЦ СИНИЙ, ИЛИ ОБЫКНОВЕННЫЙ, И ТУНЕЦ ТИХООКЕАНСКИЙ ГОЛУБОЙ (THUNNUS THYNNUS, THUNNUS ORIENTALIS) СВЕЖИЙ ИЛИ ОХЛАЖДЕННЫЙ"
1057,030236,ТУНЕЦ ЮЖНЫЙ СИНИЙ (THUNNUS MACCOYII) СВЕЖИЙ ИЛИ ОХЛАЖДЕННЫЙ
1062,030239,"ТУНЦОВЫЕ ПРОЧИЕ СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ, ЗА ИСКЛЮЧЕНИЕМ ПЕЧЕНИ, ИКРЫ И МОЛОК"
1067,030241,"СЕЛЬДЬ, СВЕЖАЯ ИЛИ ОХЛАЖДЕННАЯ"
1070,030242,"АНЧОУСЫ, СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ"
1073,030243,"САРДИНЫ (SARDINA PILCHARDUS, SARDINOPS SPP.), САРДИНЕЛЛА (SARDINELLA SPP.), КИЛЬКИ ИЛИ ШПРОТЫ (SPRATTUS SPRATTUS) СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ"
1080,030244,"СКУМБРИЯ (SCOMBER SCOMBRUS, SCOMBER AUSTRALASICUS, SCOMBER JAPONICUS), СВЕЖАЯ ИЛИ ОХЛАЖДЕННАЯ"
1083,030245,СТАВРИДА (TRACHURUS SPP.) СВЕЖАЯ ИЛИ ОХЛАЖДЕННАЯ
1090,030246,"КОБИЯ (RACHYCENTRON CANADUM), СВЕЖАЯ ИЛИ ОХЛАЖДЕННАЯ"
1093,030247,"МЕЧ-РЫБА (XIPHIAS GLADIUS), СВЕЖАЯ ИЛИ ОХЛАЖДЕННАЯ"
1096,030249,"ПРОЧАЯ:СЕЛЬДЬ (CLUPEA HARENGUS, CLUPEA PALLASII), АНЧОУСЫ (ENGRAULIS SPP.), САРДИНЫ (SARDINA PILCHARDUS, SARDINOPS SPP.), САРДИНЕЛЛА (SARDINELLA SPP.), КИЛЬКИ ИЛИ ШПРОТЫ (SPRATTUS SPRATTUS) ..."
1104,030251,"ТРЕСКА (GADUS MORHUA, GADUS OGAC, GADUS MACROCEPHALUS) СВЕЖАЯ ИЛИ ОХЛАЖДЕННАЯ"
1109,030252,"ПИКША (MELANOGRAMMUS AEGLEFINUS), СВЕЖАЯ ИЛИ ОХЛАЖДЕННАЯ"
1112,030253,"САЙДА (POLLACHIUS VIRENS), СВЕЖАЯ ИЛИ ОХЛАЖДЕННАЯ"
1115,030254,МЕРЛУЗА (MERLUCCIUS SPP.) И АМЕРИКАНСКИЙ НИТЕПЕРЫЙ НАЛИМ (UROPHYCIS SPP.) СВЕЖАЯ ИЛИ ОХЛАЖДЕННАЯ
1124,030255,"МИНТАЙ (THERAGRA CHALCOGRAMMA), СВЕЖИЙ ИЛИ ОХЛАЖДЕННЫЙ"
1127,030256,"ПУТАССУ (MICROMESISTIUS POUTASSOU, MICROMESISTIUS AUSTRALIS), СВЕЖАЯ ИЛИ ОХЛАЖДЕННАЯ"
1130,030259,"ПРОЧАЯ РЫБА СЕМЕЙСТВ BREGMACEROTIDAE, EUCLICHTHYIDAE, GADIDAE, MACROURIDAE, MELANONIDAE, MERLUCCIIDAE, MORIDAE И MURAENOLEPIDIDAE СВЕЖАЯ ИЛИ ОХЛАЖДЕННАЯ"
1141,030271,"ТИЛАПИЯ (OREOCHROMIS SPP.), СВЕЖАЯ ИЛИ ОХЛАЖДЕННАЯ"
1144,030272,"СОМ (PANGASIUS SPP., SILURUS SPP., CLARIAS SPP., ICTALURUS SPP.), СВЕЖИЙ ИЛИ ОХЛАЖДЕННЫЙ"
1147,030273,"КАРП(CYPRINUS SPP., CARASSIUS SPP., CTENOPHARYNGODON IDELLUS, HYPOPHTHALMICHTHYS SPP., CIRRHINUS SPP., MYLOPHARYNGODON PICEUS, CATLA CATLA, LABEO SPP., OSTEOCHILUS HASSELTI, LEPTOBARBUS HOEVENI, MEGALOBRAMA SPP.), СВЕЖИЙ ИЛИ ОХЛАЖДЕННЫЙ"
1150,030274,"УГОРЬ (ANGUILLA SPP.), СВЕЖИЙ ИЛИ ОХЛАЖДЕННЫЙ"
1153,030279,"ПРОЧАЯ ТИЛАПИЯ, СОМ, КАРП, УГОРЬ, ЛАТЕС НИЛЬСКИЙ (LATES NILOTICUS) И ЗМЕЕГОЛОВ (CHANNA SPP.), ЗА ИСКЛЮЧЕНИЕМ ПЕЧЕНИ, ИКРЫ И МОЛОК, СВЕЖАЯ ИЛИ ОХЛАЖДЕННАЯ"
1156,030281,АКУЛЫ СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ
1165,030282,СКАТЫ И РОМБОВЫЕ СКАТЫ (RAJIDAE)
1168,030283,КЛЫКАЧ (DISSOSTICHUS SPP.)
1171,030284,ЛАВРАК (DICENTRARCHUS SPP.) СВЕЖИЙ ИЛИ ОХЛАЖДЕННЫЙ
1176,030285,"СПАРОВЫЕ, ИЛИ МОРСКИЕ КАРАСИ (SPARIDAE) СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ"
1183,030289,ПРОЧАЯ РЫБА СВЕЖАЯ ИЛИ ОХЛАЖДЕННАЯ
1206,030291,"ПЕЧЕНЬ, ИКРА И МОЛОКИ, СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ"
1209,030292,"ПЛАВНИКИ АКУЛЬИ, СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ"
1212,030299,"ПЕЧЕНЬ, ИКРА, МОЛОКИ, ПЛАВНИКИ, ГОЛОВЫ, ХВОСТЫ, ПЛАВАТЕЛЬНЫЕ ПУЗЫРИ И ПРОЧИЕ ПИЩЕВЫЕ РЫБНЫЕ СУБПРОДУКТЫ,  ПРОЧИЕ"
1222,030311,"КРАСНАЯ ИЛИ НЕРКА (ONCORHYNCHUS NERKA), МОРОЖЕНАЯ"
